cluster_id	group
2	good
3	mua
4	mua
10	mua
11	mua
17	mua
18	mua
20	good
21	mua
22	good
23	mua
34	good
35	mua
49	noise
56	mua
57	good
60	good
61	mua
64	good
65	mua
70	mua
71	mua
85	good
86	mua
87	mua
89	good
90	good
93	good
94	good
