original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,Source
78,43.0,0.32875509403802383,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
6,53.5,0.054294773065365,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
15,60.0,0.1587790833868492,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1.2,10s win vs 10s baseline,win
102,88.0,0.7781334383966498,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
110,61.0,0.10045796448967022,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
37,47.0,0.030365113315399057,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
3,32.0,0.0064246026289671515,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
25,78.0,0.4939012303138084,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
49,24.0,0.0042740329557000925,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
5,80.0,0.3506564539028397,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
17,58.0,0.07932167969676177,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
40,101.0,0.8812927086539598,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
128,52.0,0.04785751139622271,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
134,78.0,0.3134630649347462,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
22,51.0,0.04380372353657391,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
