original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
6,53.5,0.054294773065365,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
15,60.0,0.1587790833868492,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s win vs 10s baseline
5,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
91,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
41,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
25,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
80,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
73,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
62,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
17,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
19,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
70,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
10,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
35,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
0,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
20,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
84,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
61,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
72,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
52,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
54,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s win vs 10s baseline
52,18.0,0.009725523541639646,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
60,18.0,0.017058718531494516,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
77,48.0,0.3008925710547009,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
105,42.0,0.17873740941968186,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
9,63.0,0.7959872153886274,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
0,58.0,0.6047930082479747,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
99,28.0,0.038607051842430073,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
53,59.0,0.6416044302221346,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
85,52.0,0.6495629244115453,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
16,48.0,0.3010541816225988,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
39,48.5,0.3132195064700367,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
17,47.0,0.2773696133737247,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
