original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
45,43.0,0.020633435105949553,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
33,48.0,0.03334022025101753,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
39,41.0,0.02977446084184663,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
74,32.0,0.0064246026289671515,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
37,51.0,0.04380372353657391,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
58,42.0,0.018674874007415902,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
23,49.0,0.03656128916854718,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
51,49.0,0.03656128916854718,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
102,44.0,0.022745072255317505,increases,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s both_rewarded vs 10s baseline
5,1.0,0.00010334649564653764,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
91,32.0,0.0064246026289671515,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
41,42.5,0.01962217373842447,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
25,0.0,0.00028905006410405866,decreases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
73,0.0,8.857457687863547e-05,decreases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
62,12.5,0.001469275640120651,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
19,0.0,8.857457687863547e-05,decreases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
35,26.0,0.0031851432686599455,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
0,17.0,0.002852521233431342,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
84,1.5,0.00016583319783092414,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
61,29.5,0.00477895829476747,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
72,1.5,0.00011035111729996059,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
52,10.0,0.0006201053427331174,increases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
54,0.0,8.857457687863547e-05,decreases,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s both_rewarded vs 10s baseline
