,cluster_id,x,y,firing_rate,waveform,cluster_color
0,0,4.503466,3.9451783,1.8163678675,"[ 0.06097547  0.06450545  0.06707726  0.07170446  0.07600181  0.07606546
  0.07844506  0.08459248  0.08224312  0.07871935  0.088885    0.08754779
  0.06987642  0.08448064  0.09857425  0.0506996   0.05487865  0.12254926
 -0.10052528 -0.6801162  -1.         -0.7110918  -0.28776103 -0.1422283
 -0.11031495 -0.02733222  0.02459156  0.03052162  0.05589297  0.08732354
  0.10082145  0.11762129  0.13943388  0.14934763  0.15039717  0.1487326
  0.1411913   0.13018271  0.12058697  0.11043678]",[0.18995 0.07176 0.23217 1.     ]
1,1,10.393314,5.6293745,3.5379185784920635,"[ 0.08430918  0.09038736  0.09683354  0.10469016  0.11013857  0.11361603
  0.12063924  0.12622689  0.12587436  0.13205908  0.14127585  0.13403586
  0.13304394  0.15395442  0.1448808   0.13445628  0.22634593  0.26129523
 -0.07142134 -0.62380004 -0.89595586 -0.7926825  -0.6306305  -0.53873706
 -0.42295069 -0.28664446 -0.19169204 -0.11887594 -0.0416874   0.02433761
  0.07548986  0.12179764  0.15892951  0.18193887  0.19595833  0.20372432
  0.20428905  0.19966777  0.19215658  0.18171003]",[0.27628 0.42118 0.89123 1.     ]
2,2,9.017919,6.067453,3.019873044074074,"[ 0.07579959  0.07924234  0.08274288  0.08823518  0.09137917  0.09201785
  0.0974633   0.10162298  0.09623795  0.09841601  0.10852837  0.09686761
  0.08789239  0.1132937   0.10196318  0.06274742  0.15177663  0.2333857
 -0.09563345 -0.7157197  -1.         -0.8002639  -0.54380864 -0.42874467
 -0.32077605 -0.19437154 -0.11397139 -0.05015682  0.02671617  0.08954115
  0.13524228  0.18066293  0.21749249  0.23550405  0.240839    0.23789005
  0.22691135  0.21171278  0.19469564  0.1753446 ]",[0.15844 0.73551 0.92305 1.     ]
3,3,4.477499,5.894924,3.944167061818182,"[ 0.07172057  0.07584099  0.07913369  0.08333387  0.08654679  0.08734577
  0.0901286   0.09358058  0.09117022  0.09039319  0.09572486  0.08999736
  0.07980713  0.08960079  0.08612934  0.05275175  0.06372592  0.05208823
 -0.23734711 -0.74795383 -1.         -0.78935826 -0.45176938 -0.26220232
 -0.14909112 -0.03326265  0.04342651  0.08217113  0.12184257  0.15576375
  0.17266819  0.18597123  0.1977609   0.19911405  0.1924557   0.18303226
  0.16993798  0.15392248  0.13808465  0.12260237]",[0.19659 0.94901 0.59466 1.     ]
4,4,10.186145,3.1592197,4.017446171860465,"[ 0.05139633  0.05382615  0.05626784  0.06153727  0.06387533  0.06297172
  0.06917184  0.07408677  0.0662191   0.07006752  0.08571283  0.07013761
  0.0599575   0.10285028  0.09582919  0.05582467  0.23194985  0.45887336
  0.14075579 -0.624379   -0.99986446 -0.75796473 -0.45384368 -0.34443375
 -0.24578984 -0.12374648 -0.06283233 -0.02127634  0.04061375  0.08708066
  0.11372069  0.14108838  0.1606      0.16521166  0.16528882  0.16279346
  0.15367654  0.14122431  0.12889652  0.11611759]",[0.64362 0.98999 0.23356 1.     ]
5,5,-0.25329265,5.99942,13.4224368315625,"[ 0.03732616  0.03885153  0.03934927  0.04107564  0.04288021  0.04153019
  0.0412144   0.04382638  0.04034783  0.03461837  0.03911871  0.03709086
  0.02036574  0.0248588   0.0351345  -0.00257065 -0.0208503   0.00235748
 -0.19259207 -0.6909461  -0.98575664 -0.6718331  -0.10889766  0.19036277
  0.24086308  0.25516924  0.250189    0.20707625  0.17621852  0.16353607
  0.1425262   0.12116279  0.10771209  0.09143206  0.0726305   0.05882715
  0.04765858  0.03636811  0.02754016  0.02131872]",[0.93301 0.81236 0.22667 1.     ]
6,6,6.7034945,4.85439,2.6160352160330578,"[ 0.07542479  0.08104789  0.08562028  0.09185386  0.09755359  0.10018592
  0.10559235  0.11268543  0.11168218  0.11272252  0.12460304  0.12191368
  0.11008081  0.12933436  0.13560349  0.09322204  0.1187163   0.16617799
 -0.11165608 -0.69793695 -1.         -0.76618654 -0.43234184 -0.3057044
 -0.24017173 -0.13733086 -0.07247328 -0.04177838  0.00480574  0.04968466
  0.07851831  0.1101179   0.14228685  0.16134824  0.1708717   0.1753541
  0.1722658   0.16380566  0.15427227  0.14353926]",[0.9836  0.49291 0.12849 1.     ]
7,7,7.234031,8.4188795,3.5246275792857142,"[ 0.07382783  0.07604869  0.07814109  0.08177377  0.08325794  0.08216161
  0.08497733  0.08714544  0.08115035  0.0809686   0.08804681  0.07707983
  0.06674329  0.08528888  0.07473675  0.03702096  0.09810261  0.14395656
 -0.16944207 -0.7379762  -1.         -0.8046848  -0.54052573 -0.41386142
 -0.3051374  -0.17165443 -0.07130163  0.01182652  0.10422535  0.18109925
  0.23259507  0.27042857  0.28991857  0.28643352  0.2707683   0.25097752
  0.22769947  0.20322011  0.1797925   0.15695821]",[0.81608 0.18462 0.01809 1.     ]
8,8,9.366882,8.755836,2.927608325492228,"[ 0.09808082  0.1038916   0.10941636  0.11553577  0.12006629  0.12292557
  0.12772422  0.13171811  0.13077708  0.13226436  0.13660136  0.13092554
  0.1252317   0.13253395  0.12286747  0.09560139  0.09189907  0.01050936
 -0.32899112 -0.7954296  -1.         -0.8479978  -0.61153406 -0.46120432
 -0.3390528  -0.2110545  -0.11357999 -0.03960812  0.03729472  0.10872983
  0.16434556  0.20944142  0.24263577  0.2585456   0.26118043  0.25635704
  0.24503201  0.22864589  0.21026337  0.19092305]",[0.4796  0.01583 0.01055 1.     ]
