Lag,Cross-Correlation
-20,9
-19,9
-18,9
-17,13
-16,10
-15,15
-14,12
-13,9
-12,8
-11,11
-10,16
-9,12
-8,11
-7,8
-6,10
-5,15
-4,13
-3,10
-2,16
-1,13
0,2
1,8
2,17
3,12
4,11
5,9
6,12
7,13
8,10
9,15
10,12
11,9
12,12
13,6
14,13
15,8
16,13
17,4
18,14
19,11
20,13
