Lag,Cross-Correlation
-20,12
-19,13
-18,14
-17,12
-16,14
-15,11
-14,13
-13,10
-12,13
-11,12
-10,16
-9,11
-8,13
-7,19
-6,12
-5,8
-4,12
-3,9
-2,24
-1,7
0,3
1,13
2,15
3,27
4,20
5,8
6,16
7,10
8,19
9,3
10,12
11,8
12,11
13,15
14,12
15,18
16,9
17,12
18,11
19,13
20,13
