Lag,Cross-Correlation
-20,4
-19,2
-18,4
-17,5
-16,0
-15,3
-14,2
-13,4
-12,3
-11,3
-10,6
-9,3
-8,4
-7,0
-6,1
-5,2
-4,3
-3,7
-2,8
-1,6
0,1
1,2
2,4
3,4
4,3
5,2
6,6
7,6
8,6
9,5
10,2
11,3
12,1
13,2
14,5
15,4
16,2
17,4
18,4
19,1
20,1
