cluster_id	group
0	mua
1	good
2	good
3	mua
6	mua
9	good
10	good
11	good
12	noise
13	noise
14	noise
15	good
16	mua
17	mua
19	noise
21	noise
22	noise
23	noise
24	good
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
38	noise
39	good
40	noise
41	mua
43	mua
44	mua
45	mua
46	mua
47	noise
48	noise
49	noise
50	mua
51	noise
52	noise
53	noise
54	noise
55	noise
56	noise
57	noise
58	noise
75	noise
76	good
77	good
79	noise
82	noise
83	mua
87	good
93	noise
94	good
95	mua
96	mua
97	good
103	mua
107	mua
