Lag,Cross-Correlation
-20,38
-19,63
-18,50
-17,57
-16,44
-15,45
-14,37
-13,36
-12,47
-11,38
-10,48
-9,40
-8,42
-7,53
-6,48
-5,41
-4,36
-3,44
-2,50
-1,38
0,12
1,45
2,49
3,38
4,38
5,38
6,53
7,44
8,39
9,37
10,42
11,52
12,44
13,30
14,41
15,44
16,52
17,42
18,33
19,44
20,59
