Lag,Cross-Correlation
-20,1
-19,1
-18,3
-17,2
-16,0
-15,2
-14,0
-13,1
-12,1
-11,0
-10,0
-9,0
-8,1
-7,0
-6,2
-5,0
-4,0
-3,0
-2,0
-1,1
0,0
1,2
2,1
3,1
4,1
5,2
6,0
7,1
8,2
9,3
10,1
11,1
12,3
13,0
14,1
15,1
16,0
17,0
18,1
19,2
20,0
