Lag,Cross-Correlation
-20,5
-19,1
-18,1
-17,1
-16,1
-15,3
-14,1
-13,1
-12,2
-11,2
-10,1
-9,0
-8,2
-7,2
-6,1
-5,4
-4,0
-3,3
-2,4
-1,1
0,0
1,2
2,2
3,5
4,1
5,1
6,1
7,0
8,3
9,3
10,0
11,0
12,2
13,2
14,1
15,0
16,0
17,2
18,1
19,2
20,3
