Lag,Cross-Correlation
-20,35
-19,38
-18,21
-17,29
-16,30
-15,37
-14,27
-13,34
-12,35
-11,24
-10,34
-9,25
-8,34
-7,30
-6,30
-5,38
-4,30
-3,25
-2,38
-1,26
0,8
1,36
2,29
3,29
4,31
5,43
6,36
7,25
8,32
9,30
10,35
11,33
12,28
13,33
14,24
15,31
16,37
17,34
18,40
19,37
20,37
